cutout_id,Mvir,redshift
2370,172428600000000.0,0.1005
2393,124659900000000.0,0.1007
2409,116970800000000.0,0.1005
2452,361196700000000.0,0.1005
2465,576203800000000.0,0.1009
2479,1258518000000000.0,0.1009
2491,207702500000000.0,0.101
2518,118220300000000.0,0.1001
2531,167622900000000.0,0.1001
2552,150899100000000.0,0.1005
2587,160029900000000.0,0.1005
2589,257105100000000.0,0.1002
2609,141864400000000.0,0.1001
2625,183674000000000.0,0.1006
2639,116009700000000.0,0.1002
2650,118508600000000.0,0.1001
2669,167238500000000.0,0.103
2677,145612800000000.0,0.1021
2678,110915600000000.0,0.1026
2691,142825500000000.0,0.1034
2704,244802500000000.0,0.1023
2716,138788700000000.0,0.1024
2724,357736600000000.0,0.1027
2740,202416200000000.0,0.1035
2745,401468500000000.0,0.1019
2756,134559700000000.0,0.1012
2773,155800900000000.0,0.1035
2780,200013400000000.0,0.1013
2788,142248800000000.0,0.1041
2796,138884800000000.0,0.1038
2806,128216200000000.0,0.1029
2824,196841600000000.0,0.1019
2844,187038000000000.0,0.1039
2846,183385600000000.0,0.1046
2851,168007400000000.0,0.1027
2868,100727500000000.0,0.1054
2871,101015900000000.0,0.1051
2873,102842100000000.0,0.1043
2883,105725500000000.0,0.1043
2884,111684500000000.0,0.1035
2889,289015000000000.0,0.1063
2890,148015700000000.0,0.1051
2894,139846000000000.0,0.1041
2904,140614900000000.0,0.104
2915,463942600000000.0,0.1036
2916,132541300000000.0,0.1029
2922,100343100000000.0,0.1019
2923,187038000000000.0,0.1022
2924,526993400000000.0,0.1026
2927,126293900000000.0,0.103
2931,168968500000000.0,0.1041
2935,102553700000000.0,0.1036
2936,160126000000000.0,0.1049
2941,162528900000000.0,0.1013
2944,187422400000000.0,0.1029
2959,118700900000000.0,0.104
2969,103995400000000.0,0.1043
2972,161856100000000.0,0.1041
2973,112357300000000.0,0.1041
2974,155128100000000.0,0.1035
2986,584565800000000.0,0.1061
2988,351585300000000.0,0.1095
2996,105341000000000.0,0.1084
3002,225964200000000.0,0.1087
3036,128889000000000.0,0.1054
3044,124948300000000.0,0.1065
3084,132445200000000.0,0.1095
3124,148304000000000.0,0.1071
3130,104764300000000.0,0.1069
3142,131964600000000.0,0.1093
3145,172332500000000.0,0.1062
3148,107167200000000.0,0.1094
3165,216545000000000.0,0.1085
3171,286419900000000.0,0.1081
3182,130907400000000.0,0.1074
3207,115433000000000.0,0.1084
3208,165989000000000.0,0.1094
3225,346491200000000.0,0.1057
3227,136962500000000.0,0.1088
3243,154455300000000.0,0.1085
3250,107551600000000.0,0.1073
3259,216833300000000.0,0.1069
3263,128600600000000.0,0.1087
3264,108416700000000.0,0.1062
3280,126390000000000.0,0.1083
3291,133214100000000.0,0.109
3296,138692600000000.0,0.1067
3300,125813300000000.0,0.109
3302,130426800000000.0,0.1103
3310,133021900000000.0,0.1124
3321,104476000000000.0,0.1137
3326,331881900000000.0,0.1145
3329,103130400000000.0,0.1139
3338,540449400000000.0,0.1113
3355,109954500000000.0,0.113
3360,195496000000000.0,0.1119
3368,152052500000000.0,0.1099
3379,227213700000000.0,0.111
3401,124467700000000.0,0.1124
3404,273156200000000.0,0.1134
3410,107071100000000.0,0.1115
3422,114760200000000.0,0.1105
3435,333708000000000.0,0.1126
3438,118124200000000.0,0.1117
3439,112645700000000.0,0.1114
3445,105917700000000.0,0.1119
3448,197226100000000.0,0.1114
3449,103418700000000.0,0.1119
3454,180310000000000.0,0.1105
3455,439914100000000.0,0.1141
3458,264409800000000.0,0.1135
3463,788231500000000.0,0.1146
3484,211450900000000.0,0.1121
3494,771699800000000.0,0.1134
3501,103611000000000.0,0.1105
3508,157819300000000.0,0.1099
3516,323904400000000.0,0.1132
3525,135136400000000.0,0.1106
3533,263833100000000.0,0.1103
3543,136289700000000.0,0.1119
3554,129850100000000.0,0.1116
3557,135520800000000.0,0.112
3564,260084700000000.0,0.1137
3565,138980900000000.0,0.1127
3575,159261000000000.0,0.1129
3578,149649600000000.0,0.1139
3584,313524100000000.0,0.1106
3585,105821600000000.0,0.1099
3592,463077600000000.0,0.1122
3596,108512800000000.0,0.111
3604,292186800000000.0,0.1119
3615,143402200000000.0,0.1129
3622,103514800000000.0,0.111
3624,108128300000000.0,0.1122
